,Mean Weights % Error,Std Weights % Error,Mean Biases % Error,Std Biases % Error
StudentUnderparam,10133.329010009766,144.6954846382141,1422.5210189819336,120.12972831726074
StudentEqualparam,13261.178588867188,59.98647212982178,475.05688667297363,57.15954303741455
StudentOverparam,13139.364624023438,58.02066922187805,790.396785736084,69.83950138092041
